# Corrections cellule par cellule, verifiees a l'oeil sur le scan agrandi.
# page	ligne	colonne	contenu LaTeX
0	9	16	a
4	17	5	Q
9	10	3	o
9	25	5	v
9	34	32	x
10	5	12	m
10	21	43	n
10	28	54	o
10	33	20	o
11	35	47	N
14	47	54	I
15	11	3	o
15	12	35	f
15	51	37	m
16	41	1	r
18	43	55	a
19	2	10	x
19	8	56	o
19	8	57	m
19	10	23	o
19	14	19	c
19	14	20	o
21	45	18	v
22	27	39	a
23	35	46	a
23	39	58	o
24	6	9	v
24	13	11	v
24	46	21	T
27	48	4	e
27	48	5	r
28	26	13	C
29	52	40	m
30	8	13	B
30	17	14	B
31	10	1	m
31	18	10	h
31	21	45	t
31	40	56	m
33	33	26	b
33	37	38	l
34	2	20	v
34	4	14	a
37	20	12	l
37	26	16	a
38	41	61	a
38	42	60	a
39	30	23	x
39	36	51	x
39	37	39	m
41	13	17	z
41	19	6	c
41	22	9	a
42	19	17	a
43	32	36	l
44	25	19	v
45	13	10	T
45	42	11	x
45	50	3	s
46	22	52	l
46	37	4	p
46	37	5	o
47	5	5	l
48	2	2	m
48	5	11	G
48	5	12	a
48	7	8	a
49	8	23	o
49	9	8	l
49	26	24	a
49	36	12	t
50	18	41	s
50	21	52	i
50	27	27	c
50	27	28	e
50	46	56	m
51	35	25	n
51	44	18	e
51	44	24	s
52	12	10	e
52	23	20	i
53	51	9	O
54	16	7	s
54	33	8	o
54	33	11	a
54	53	57	o
55	3	37	p
56	10	6	s
56	47	28	T
57	38	0	e
57	38	1	s
57	49	4	a
58	33	27	n
58	34	7	m
58	43	4	o
58	47	1	s
58	47	17	l
58	48	50	o
59	30	6	p
59	34	49	t
60	32	9	P
61	2	51	o
61	2	52	a
61	9	31	t
61	39	16	l
61	50	52	v
62	14	3	o
62	16	3	t
62	30	3	m
62	34	12	S
63	33	32	c
63	51	45	a
64	7	3	t
64	7	8	F
64	17	38	t
64	20	14	t
64	42	28	a
64	47	39	n
65	4	4	n
65	30	10	t
66	3	12	c
66	41	4	e
67	14	0	h
68	4	23	a
68	8	0	p
68	17	16	T
68	24	23	i
68	29	1	a
69	43	28	t
73	10	4	I
73	34	13	i
73	34	29	a
73	36	36	o
73	52	34	e
74	44	5	v
75	7	40	p
75	7	43	t
75	17	56	e
75	26	11	x
76	21	3	p
76	21	12	c
76	25	39	S
77	6	49	v
77	24	12	B
78	22	0	p
78	22	2	z
79	44	45	t
79	47	9	l
80	5	50	t
80	50	17	n
81	17	7	d
81	17	8	i
81	25	31	x
82	13	1	m
82	16	0	t
82	54	20	S
83	17	44	l
85	21	39	T
85	21	45	T
85	47	14	O
88	7	17	m
88	32	25	a
90	34	50	c
90	45	37	s
91	3	21	s
91	13	10	a
91	31	0	s
91	45	49	x
92	16	5	a
93	16	11	v
95	51	5	v
97	3	4	e
97	3	7	m
97	3	14	t
97	26	13	a
97	49	16	F
98	48	8	t
99	24	12	o
102	21	9	o
102	28	13	l
103	19	19	p
103	23	6	c
103	32	21	o
104	16	22	v
104	46	12	s
105	18	21	z
105	33	24	r
105	40	38	C
105	58	48	s
105	59	24	o
106	10	25	o
107	2	12	a
107	3	36	a
107	8	14	a
107	8	15	s
108	27	16	a
110	19	21	T
110	43	47	h
112	15	16	m
113	2	20	a
113	5	14	a
114	2	9	S
114	2	10	a
114	9	8	s
114	33	34	f
114	43	33	a
115	11	23	M
116	20	29	O
116	26	48	x
116	51	9	a
117	8	54	s
117	8	55	o
117	26	15	i
117	31	42	x
117	38	10	v
117	41	29	m
117	43	9	x
118	16	7	c
119	20	53	o
120	30	21	o
121	7	9	T
121	7	13	o
121	56	22	o
122	4	0	e
122	4	1	s
122	17	7	N
122	26	35	O
122	33	4	o
123	50	25	m
123	50	26	e
124	34	11	T
124	41	3	S
125	45	3	s
127	40	19	x
127	42	53	s
127	42	54	a
127	42	56	a
127	49	6	c
128	9	36	T
128	54	19	m
129	8	59	v
130	54	3	g
130	54	5	r
130	54	43	u
130	54	44	r
134	16	11	x
134	38	5	z
135	44	9	a
135	44	44	o
136	19	49	x
137	6	34	f
137	25	26	o
138	25	16	a
139	8	17	o
139	19	17	T
140	31	40	o
141	8	3	s
141	18	21	R
141	24	9	e
141	30	49	k
141	58	5	i
141	58	6	c
141	58	7	a
142	27	19	f
143	18	27	o
143	18	28	r
143	53	6	e
145	13	49	a
145	24	12	K
146	0	15	s
146	46	17	N
146	47	9	u
147	3	22	a
147	30	26	a
147	47	32	p
147	52	25	l
148	26	20	z
149	15	9	I
149	29	33	P
149	29	52	k
150	16	1	o
150	16	2	p
150	47	29	t
151	15	36	x
151	26	27	o
151	34	18	v
151	46	27	q
151	47	15	q
151	49	9	q
153	4	16	l
153	27	14	z
154	19	10	T
155	43	36	t
156	5	11	e
156	5	12	r
156	11	0	s
158	16	0	e
159	19	53	a
159	19	54	s
161	31	4	P
161	39	59	s
163	12	39	c
163	20	51	k
163	26	17	m
163	26	18	e
163	43	69	d
164	14	4	u
164	14	8	o
164	19	3	k
164	19	4	a
164	26	3	n
164	26	4	o
164	28	8	l
164	32	17	o
165	8	4	v
165	31	19	z
165	31	48	z
165	33	31	s
165	33	32	u
165	50	9	B
166	15	16	N
166	21	8	n
166	44	64	o
166	45	51	a
166	58	50	t
169	2	9	S
169	28	59	a
169	35	44	x
169	49	13	e
170	8	10	a
170	18	6	e
171	25	17	s
171	40	32	o
172	16	0	p
173	22	10	e
173	29	2	l
173	40	24	o
174	11	13	e
174	11	14	s
174	17	4	o
174	56	5	o
175	21	19	o
175	29	26	t
175	29	28	a
175	43	60	k
175	49	18	T
175	51	8	a
176	18	7	P
177	29	15	a
178	37	9	R
178	43	59	x
178	47	5	m
178	49	31	T
178	50	18	t
179	5	11	m
179	35	30	m
180	28	23	x
180	42	15	n
180	48	20	o
181	11	8	o
181	39	4	u
182	25	32	s
182	26	29	o
183	11	27	o
183	49	10	v
184	20	12	m
185	18	9	o
186	40	5	a
187	17	27	m
187	32	12	T
187	36	57	a
188	10	4	t
188	24	6	a
188	49	42	n
189	6	17	k
189	13	15	a
189	36	7	p
189	40	31	o
189	48	30	m
189	53	35	o
190	6	52	x
190	6	56	a
190	32	5	x
191	13	32	I
192	14	8	a
192	14	9	n
192	16	22	N
192	36	47	t
192	54	25	D
193	6	44	S
193	40	64	a
194	7	11	o
194	44	13	e
194	48	12	a
194	48	13	n
196	7	3	p
196	12	3	a
196	30	3	a
196	30	4	c
196	44	0	s
196	48	42	I
196	55	53	x
197	32	0	s
197	32	1	a
197	32	3	a
197	52	7	e
198	59	36	c
199	11	3	N
199	44	19	P
199	50	10	C
200	19	11	m
201	24	32	m
201	50	35	a
201	50	36	f
201	52	25	t
